X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
84.240000	-0.239340	-1.739498	0.299487	0.000670	0.009130	-0.000181
84.250000	-0.160547	-1.712321	0.310612	0.000352	0.009465	0.000434
84.260000	-0.200035	-1.723447	0.291644	0.000399	0.009728	0.001128
84.270000	-0.210613	-1.708126	0.320461	-6.683644E-6	0.010223	0.001931
84.280000	-0.215903	-1.638818	0.291097	0.000230	0.009961	0.002108
84.290000	-0.197025	-1.584192	0.312345	0.000260	0.009661	0.002330
84.300000	-0.202771	-1.544431	0.303864	0.000574	0.009025	0.001781
84.310000	-0.233230	-1.493635	0.271307	0.000841	0.008310	0.001417
84.320000	-0.179789	-1.356113	0.301219	0.000809	0.007306	0.001224
84.330000	-0.227028	-1.279601	0.290276	0.000952	0.005896	0.000256
84.340000	-0.210978	-1.141258	0.249420	0.000472	0.004546	0.000286
84.350000	-0.220554	-1.024893	0.275685	0.000441	0.002932	-3.254563E-5
84.360000	-0.205415	-0.962242	0.225345	0.000212	0.001117	-0.000811
84.370000	-0.207148	-0.794716	0.273314	6.114998E-5	-0.000695	-0.000525
84.380000	-0.214170	-0.696408	0.273040	0.000311	-0.002621	-0.000877
84.390000	-0.195475	-0.564996	0.267933	0.000256	-0.004093	-0.001100
84.400000	-0.189182	-0.428477	0.271307	0.000611	-0.005706	-0.000905
84.410000	-0.229399	-0.330533	0.258358	0.000517	-0.007002	-0.000608
84.420000	-0.205324	-0.112577	0.281977	0.000632	-0.008158	-0.000229
84.430000	-0.223289	-0.037250	0.263009	0.000662	-0.009316	0.000211
84.440000	-0.237607	0.053125	0.292465	0.000433	-0.009773	0.000809
84.450000	-0.177418	0.176238	0.326207	0.000570	-0.010202	0.001234
84.460000	-0.210249	0.285490	0.293194	0.000239	-0.010149	0.001890
84.470000	-0.196113	0.405959	0.318455	0.000366	-0.010151	0.001862
84.480000	-0.203591	0.514298	0.283071	0.000227	-0.009874	0.001930
84.490000	-0.198758	0.609233	0.261732	0.000188	-0.009520	0.001789
84.500000	-0.197390	0.704896	0.312892	0.000447	-0.009071	0.000943
84.510000	-0.214626	0.773475	0.267751	0.000338	-0.008426	0.000939
84.520000	-0.182616	0.855003	0.292465	0.000593	-0.007986	0.000122
84.530000	-0.232774	0.954680	0.263009	0.000458	-0.007455	-0.000723
84.540000	-0.211069	1.006843	0.277691	0.000557	-0.007237	-0.000691
84.550000	-0.189182	1.038762	0.284622	0.000535	-0.007011	-0.001246
84.560000	-0.231497	1.037485	0.249420	0.000218	-0.006644	-0.000994
84.570000	-0.199487	1.085362	0.284166	0.000322	-0.006788	-0.000895
84.580000	-0.214079	1.094847	0.288817	6.964187E-5	-0.006768	-0.000707
84.590000	-0.216723	1.114727	0.253980	0.000275	-0.007122	-0.000179
